Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Crunch pied au sol;Droit de l’abdomen;Courbe lombaire neutre.;"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Crunch;3x 15 à 20 répétitions;aucune
Pompe pieds TRX + main au sol;Pectoraux, triceps, abdominaux.;"Le tibia en appui au centre du ballon.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes en maintenant la stabilité des pieds.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule, dos
Gainage à quatre pattes.;Transverse, épaule.;"Coude et épaule alignés en appuie sur les mains et les genoux fléchit à 90°.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Décoller les deux genoux en contractant un peu les abdominaux.

Revenir en position de départ

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 à 15 répétitions;poignet
Planche avant-bras sur le bosu + relevé de jambe.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le bosu.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Relevé la jambe lentement l’une après l’autre. (Bien tendre la jambe)

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 répétitions;problème cardio vasculaire, dos
Biceps alterné à genoux sur le bosu;Biceps, épaules, abdominaux.;"A genoux au centre du bosu. Les pieds décollés du sol.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe du dos neutre.";"Fléchir un coude et amener l’haltères près du bras.

Puis tendre le bras, sans bloquer le coude, pour revenir en position de départ.

Repartir avec l’autre bras.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
DV couché ballon + barre libre;Pectoraux, triceps, chaines postérieures.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre la barre sur la poitrine en fléchissant les coudes.

Remonter la barre les bras tendus, sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
Abduction de hanche sur le côté jambes tendues ;Fessier, TFL.;"Couché sur le côté, les deux jambes tendues l’une contre l’autre.

Ouvrir le thorax. La tête repose sur le bras.

L’élastique band autour et au-dessus des genoux.";"En maintenant la posture, tirer l’élastique band vers le plafond.

Puis ramener la jambe près de l’autre.

Expirer lors du mouvement et tenir les abdominaux.";Abduction;3x 15 répétitions;aucune
Tirage poitrine à genoux bosu + 2 poulie haute et corde;Grand dorsal, biceps.;"A genoux au centre du bosu.

Bras tenus vers l’avant.

Courbe lombaire neutre.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent vers les épaules.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Biceps à genoux sur le bosu;Biceps, épaules, abdominaux.;"A genoux au centre du bosu. Les pieds décollés du sol.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe du dos neutre.";"Fléchir les coudes et amener les haltères près des bras.

Puis tendre les bras, sans bloquer le coude, pour revenir en position de départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
4.4 - Gainage oblique sur les pieds;Obliques et épaules.;"Coude et épaule alignés en appuie sur les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Jambe;2x 30 à 60 secondes.;problème cardio vasculaire, épaules
;;;;;;
Biceps debout + barre;Biceps, épaules, abdominaux.;"Debout en appui sur une jambe avec le genou légèrement fléchit. L’autre jambe en arrière.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe lombaire neutre.";"Tirer la barre près des bras en fléchissant les coudes.

Puis tendre les bras, en maintenant les coudes près de la taille, pour revenir en position de

départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
Extension de hanche debout avec appui;Fessier.;"Debout en appui sur une jambe avec le genou souple et les mains à un support.

Elastique bande autour et au-dessus des genoux.

Courbe lombaire neutre.";"Tirer l’élastique bande avec la jambe tendue le plus loin possible.

Maintenir le pied de l’autre jambe bien ancré dans le sol.

Expirer lors de la montée.";Extension;3x 15 répétitions;dos
Fente sautée sur une jambe;Fessier, cuisse, ischio, mollet.;Debout, les pieds largeur des épaules.;"Tendre une jambe en arrière en fléchissant le genou et le descendre près du sol.

Puis se propulser avec force grâce à la jambe de devant et en même temps lever le genou de

la jambe arrière dans l’alignement de la hanche.";Cardio;3x30 secondes;genoux
Extension de jambes tendues tête au sol;Transverse – muscle profond de l’abdomen.;"Couché sur le dos.

Courbe lombaire neutre.

Main dernière la tête.

Genoux fléchis.";"Tendre les jambes l’une après l’autre entre 45° et 90°.

Revenir en position départ.

Expirez à chaque extension de jambes.";Extension;3x 15 à 20 répétitions;lombalgie
5.4 - Squat + biceps curl;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Bras tendu le long du corps.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux et fléchir les deux coudes.

Inspirer sur la descente et tenir les abdominaux.";Cuisse;3x 15 répétitions;Epicondylite
Elévation frontale debout 1 sangle + élastique;épaules, abdominaux.;"Debout, pieds largeur du bassin.

Les bras tendus vers le bas sous le bassin.

Élastique entre les jambes.

Courbe lombaire neutre.";"Tirer l’élastique vers le haut et amener les mains à hauteur des épaules.

Revenir lentement en maintenant les bars tendus en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;aucune
Gainage planche à genoux + avant-bras sur le ballon.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le ballon.

Genoux au sol.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire
Biceps Larry Scott sur le ballon + haltère;Biceps, épaules, abdominaux.;"Genoux au sol, le corps en appui sur le ballon.

Les bras tendus vers l’avant en appui sur le ballon.";"Fléchir les coudes et amener les haltères près des bras.

Puis tendre les bras, sans bloquer le coude, pour revenir en position de départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
Coiffe des rotateur 1 bras debout + élastique;épaules, abdominaux.;"Debout, pieds largeur du bassin.

Les coudes fléchis près de la taille et alignés avec les épaules.

Le poignet dirigé vers l’intérieur.

Courbe lombaire neutre.";"Ouvrir l’avant- bras vers l’extérieur en gardant l’espace d’une serviette entre les coudes et le corps.

Revenir lentement en maintenant les coudes près de la taille en position de départ.

Tenir les abdominaux.";Coiffe;3x15 répétitions;aucune
6.4 - Mountain climber niveau 2;Abdominaux, épaule.;"En position de planche, les poignets sous les épaules, pieds largeur des hanches.

Courbe lombaire neutre. La tête dans le prolongement de la colonne.";"Avancer le genou droit en le fléchissant et en l’alignant avec la hanche puis revenir jambe

tendue en position de départ sans bouger le bassin.

Répéter avec l’autre jambe.";;3x 30 secondes;Aucune
Squat jump;Fessier, cuisse, ischio, mollet.;Debout, les pieds largeur des épaules ou un peu plus;"S’assoir en poussant le fessier en arrière et amener l’arrière cuisse parallèlement au sol.

Le dos s’incline à 45° vers l’avant.

Puis se propulser avec force pour décoller du sol jambe tendu.

Se réceptionner en position assis avec une flexion des genoux et répéter le mouvement.";Cardio;3x30 secondes;genoux
Crunch sur ballon et élastique;Droit de l’abdomen et transverse.;"Fessier et haut du dos sur le ballon.

Elastique dans les mains.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
5.1 - Crunch sur ballon avec pieds au sol;Droit de l’abdomen et transverse.;"Fessier et haut du dos sur le ballon.

Main derrière la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Cuisse;3x 15 répétitions;Aucune
Reeverse genoux fléchi;Droit de l’abdomen partie inférieur.;"Couché sur le dos.

Courbe lombaire neutre.

Main le long du corps.

Genoux à 90°";"Décoller le fessier, et ramener les genoux vers la poitrine.

Expirez en faisant le mouvement.

Revenir en ramenant les genoux à 90°.";Reeverse;3x 15 à 20 répétitions;lombalgie
Flexion de hanche avec 1 genou sur le côté;Moyen fessier;"Couché au sol.

Les deux genoux fléchis à 90°";"Amener un pied sur le genou opposé.

Tenir la jambe et Relâcher les épaules.

Ancrer les deux hanches dans le sol.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Cuisse;1x 60 secondes;aucune
;;;;;;
Crunch sur ballon + triceps + pieds barre;Droit de l’abdomen, transverse, triceps et épaule.;"Fessier et haut du dos sur le ballon.

Bras tendus au-dessous de la poitrine.

Genoux fléchis et pieds à la barre.";"Fléchir les coudes et amener l’haltère derrière la tête.

Puis tendre les bras.

Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Maintenir les bras tendus.

Redescendre en posant le haut du dos sur le ballon, bras tendus.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;epicondylite
Pompe alternée sur les genoux + mains sur le medecine ball;Pectoraux, triceps, abdominaux.;"Les genoux à 45°, les mains légèrement vers l’avant.

Une main sur le medecine ball et une main au sol.

Courbe lombaire neutre.";"Descendre le buste sur le côté en fléchissant les deux coudes.

Remonter avec force, les bras tendus sans bloquer les coudes.

Changer de main sur le medecine ball.

Faire le même mouvement de l’autre côté.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
1.7 - Gainage à quatre pattes;Transverse, épaule.;"Coude et épaule alignés en appuie sur les mains et les genoux fléchis à 90°

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Décoller les deux genoux en contractant un peu les abdominaux.

Revenir en position de départ

Inspirer avec le nez et expirer avec la bouche.";Abdominaux;1x 30 à 60 secondes.;Douleurs poignet
2.2 - Oiseau position de squat + haltère;Haut du dos (rhomboides), épaules;"Pieds largeur des épaules.

Genoux fléchis et le dos penché en avant à partir des hanches.

La courbe lombaire neutre.

La tête dans le prolongement de la colonne.

Les bras tendus le long du corps.";"Soulever les haltères sur le côté jusqu’à ce qu’ils soient parallèles au sol.

Serrer les omoplates et garder les coudes souples.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Douleurs épaules
Abduction debout + élastique;Moyen fessier.;"Debout, en appui sur un pied avec le genou légèrement fléchit.

Élastique au pied.

Abdominaux contractés et courbe lombaire neutre.";"Tirer l’élastique sur le côté et revenir sans poser les pieds au sol et repartir.

L’autre pied est bien ancré dans le sol.

Expirer lors de l’abduction.";Abduction;3x15 répétitions;aucune
Traction verticale jambes tendues + élastique aux pieds;Grand dorsal, biceps.;"Jambes tendues avec l’élastique aux pieds.

Prise de main plus large que les épaule et les bras tendus.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener les épaules sur la barre.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
Mountain climber niveau 1;Abdominaux, dos, épaule.;"En position de planche, les poignets sous les épaules, pieds largeur des hanches.

Courbe lombaire neutre. La tête dans le prolongement de la colonne.";"Avancer le genou droit en le fléchissant et en l’alignant avec la hanche puis le genou gauche.

Continuer et tendre la jambe droite et enchainer avec la jambe gauche sans bouger le bassin.";;3x30 secondes;aucune
